architecture,shape_name,seq_len,generated_token_label,generated_tokens,prefill_ms,decode_ms_per_token,total_decode_ms,prefill_to_total_decode_ratio
encoder_decoder,t5_base,512,51 tokens,51,139.579794,48.575004,2477.325203,0.056343
encoder_decoder,t5_base,512,128 tokens,128,139.579794,48.575004,6217.600511,0.022449
encoder_decoder,t5_base,512,256 tokens,256,139.579794,48.575004,12435.201021,0.011225
encoder_decoder,t5_base,512,384 tokens,384,139.579794,48.575004,18652.801532,0.007483
encoder_decoder,t5_base,512,512 tokens,512,139.579794,48.575004,24870.402043,0.005612
encoder_decoder,t5_base,1024,1 token,1,332.561815,50.821611,50.821611,6.543709
encoder_decoder,t5_base,1024,102 tokens,102,332.561815,50.821611,5183.804317,0.064154
encoder_decoder,t5_base,1024,256 tokens,256,332.561815,50.821611,13010.332403,0.025561
encoder_decoder,t5_base,1024,512 tokens,512,332.561815,50.821611,26020.664806,0.012781
encoder_decoder,t5_base,1024,768 tokens,768,332.561815,50.821611,39030.997210,0.008520
encoder_decoder,t5_base,1024,1024 tokens,1024,332.561815,50.821611,52041.329613,0.006390
encoder_decoder,t5_base,2048,1 token,1,656.871374,56.302945,56.302945,11.666732
encoder_decoder,t5_base,2048,205 tokens,205,656.871374,56.302945,11542.103759,0.056911
encoder_decoder,t5_base,2048,512 tokens,512,656.871374,56.302945,28827.107925,0.022787
encoder_decoder,t5_base,2048,1024 tokens,1024,656.871374,56.302945,57654.215851,0.011393
encoder_decoder,t5_base,2048,1536 tokens,1536,656.871374,56.302945,86481.323776,0.007596
encoder_decoder,t5_base,2048,2048 tokens,2048,656.871374,56.302945,115308.431702,0.005697
encoder_decoder,t5_base,4096,1 token,1,1702.281182,62.373826,62.373826,27.291595
encoder_decoder,t5_base,4096,410 tokens,410,1702.281182,62.373826,25573.268615,0.066565
encoder_decoder,t5_base,4096,1024 tokens,1024,1702.281182,62.373826,63870.797710,0.026652
encoder_decoder,t5_base,4096,2048 tokens,2048,1702.281182,62.373826,127741.595421,0.013326
encoder_decoder,t5_base,4096,3072 tokens,3072,1702.281182,62.373826,191612.393131,0.008884
encoder_decoder,t5_base,4096,4096 tokens,4096,1702.281182,62.373826,255483.190842,0.006663
encoder_decoder,t5_base,8192,1 token,1,5136.933374,80.156188,80.156188,64.086547
encoder_decoder,t5_base,8192,819 tokens,819,5136.933374,80.156188,65647.918378,0.078250
encoder_decoder,t5_base,8192,2048 tokens,2048,5136.933374,80.156188,164159.874039,0.031292
encoder_decoder,t5_base,8192,4096 tokens,4096,5136.933374,80.156188,328319.748077,0.015646
encoder_decoder,t5_base,8192,6144 tokens,6144,5136.933374,80.156188,492479.622116,0.010431
encoder_decoder,t5_base,8192,8192 tokens,8192,5136.933374,80.156188,656639.496155,0.007823
